2030113	Coronal Ejection	300% Fire damage to all foes (Damage cap: ~400,000). Fire ally in first position gains Double Strike.	\N	\N	\N
2030117	Verdict Sphere	400% Wind damage to all foes. Revive one Wind ally at random. Revived ally is Sentenced 2 for 2 turns.	\N	\N	\N
2040001	Apocalypse	Massive Dark damage to all foes. Inflict Blind.	\N	\N	\N
2040002	Froststar Staff	Massive Water damage to all foes. Inflict Break Boosted (DMG) and Break Boosted (Time).	\N	Massive Water damage to all foes. Inflict Break Boosted (DMG) and Break Boosted (Time). All allies gain Charge Bar Sped Up.	\N
2040003	Catastrophe Nova	Massive Dark damage to all foes. All allies gain ATK Up.	\N	Massive Dark damage to all foes. All allies gain ATK Up and C.A. DMG Boosted (Bahamut).	Massive Dark damage to all foes. All allies gain ATK Up, C.A. DMG Boosted (Bahamut), and C.A. DMG Cap Boosted (Bahamut).
2040004	Otherworldly Catastorm	Massive Light damage to all foes. All allies gain DEF Up.	\N	Massive Light damage to all foes. Inflict Fire DEF Lowered and Light DEF Lowered. All allies gain DEF Up.	\N
2040005	Fallen Sword	Massive Dark damage to all foes. Inflict Delay.	\N	Massive Dark damage to all foes. Inflict Delay. Reduce skill cooldown for Dark allies by 1 turn.	\N
2040006	Sword of Fury	Massive Wind damage to all foes. All allies gain ATK Up.	\N	\N	\N
2040007	Nohl Sarav Valge	Massive Water damage to all foes. Inflict ATK Down.	Massive Water damage to all foes. Inflict ATK Down.	Massive Water damage to all foes. Inflict ATK Down. All allies gain C.A. DMG Boosted.	\N
2040008	Promethean Blaze	Massive Fire damage to all foes. Restore all allies' HP (Healing cap: 500).	\N	\N	\N
2040009	Ce Acatl	Massive Wind damage to all foes. All allies gain DEF Up.	\N	\N	\N
2040010	Judecca - The 4th Circle	Massive Water damage to all foes. All allies gain ATK Up.	\N	\N	\N
2040011	Soulreap	Massive Wind damage to all foes. All allies gain TA Up.	\N	\N	\N
2040012	Phantom Pain	Massive Dark damage to all foes. Inflict Poison.	\N	Massive Dark damage to all foes. Inflict Poison. All allies gain Death's Grace for 3 turns.	\N
2040013	Song of Solomon	Massive Earth damage to all foes. Remove 1 debuff from all allies.	\N	Massive Earth damage to all foes. Remove 1 debuff from all allies. All allies gain Debuff Resistance Boosted.	\N
2040014	Divine Immortality	Massive Earth damage to all foes. Inflict Blind.	\N	\N	\N
2040015	Melgno Imbel	Massive Water damage to all foes. Inflict ATK Down.	\N	\N	\N
2040016	Inferno	Massive Fire damage to all foes. All allies gain ATK Up.	\N	\N	\N
2040017	Mesmerizing Voice	Massive Wind damage to all foes. Inflict Charm.	\N	\N	\N
2040018	Constrict	Massive Earth damage to all foes. Inflict ATK Down.	\N	\N	\N
2040019	Chaos Beam	Massive Dark damage to all foes. All allies gain Dark ATK Up.	\N	\N	\N
2040020	Cyclonic Destruction	Massive Wind damage to all foes. Inflict ATK Down.	\N	Massive Wind damage to all foes. Inflict ATK Down. All allies gain Mirror Image.	Massive Wind damage to all foes. Inflict ATK Down. All allies gain Mirror Image.
2040021	Shield of the Gods: Aigis	Massive Fire damage to all foes. All allies gain 30% DMG Cut.	\N	Massive Fire damage to all foes. All allies gain 30% DMG Cut and Refresh.	\N
2040022	Fire Beam	Massive Fire damage to all foes. All allies gain Fire ATK Boosted.	\N	\N	\N
2040023	Helios Drive	Massive Light damage to all foes. All allies gain ATK Up.	\N	Massive Light damage to all foes. All allies gain ATK Up and Veil.	\N
2040024	Tungnus Blitz	Massive Dark damage to all foes. Inflict DA Down.	\N	\N	\N
2040025	Vessel of God	Inflict 1 Bounty stack on a foe.	Inflict 2 Bounty stacks on a foe.	\N	\N
2040026	Windbeam	Massive Wind damage to all foes. All allies gain Wind ATK Up.	\N	\N	\N
2040027	Luminox Genesi	Massive Earth damage to all foes. All allies gain Healing Boosted and Healing Cap Boosted.	\N	Massive Earth damage to all foes. All allies gain Healing Boosted, Healing Cap Boosted, and 1 random buff effect.	Massive Earth damage to all foes. All allies gain Healing Boosted, Healing Cap Boosted, and 2 random buff effects.
2040028	Perilous Tidefall	Massive Water damage to all foes. Inflict DEF Down.	\N	Massive Water damage to all foes. Inflict DEF Down. All allies gain Water ATK Boosted.	Massive Water damage to all foes. Inflict DEF Down. All allies gain Water ATK Boosted.
2040029	Gungnir	Massive Light damage to all foes. Inflict DEF Down.	\N	Massive Light damage to all foes. Inflict DEF Down. All allies gain Critical Hit Rate Boosted for 3 turns.	\N
2040030	Glory of the Heavens	Massive Light damage to all foes. All allies gain 30% Dark Cut.	\N	\N	\N
2040031	Astra Horizon	Massive Wind damage to all foes. All allies gain DEF Up for 4 turns.	\N	\N	\N
2040032	Hellward Damnation	Massive Dark damage to all foes. All allies gain small TA Up.	\N	\N	\N
2040033	Deep Calls to Deep	Massive Water damage to all foes. Chance to revive an ally with 25% HP.	\N	Massive Water damage to all foes. Revive an ally with 25% HP.	\N
2040034	Resolute Reactor	Massive Fire damage to all foes. Inflict DEF Down.	\N	Massive Fire damage to all foes. Inflict DEF Down. All allies gain Shield.	Massive Fire damage to all foes. Inflict DEF Down. All allies gain Shield.
2040035	Earth Beam	Massive Earth damage to all foes. All allies gain Earth ATK Boosted.	\N	\N	\N
2040036	Bountiful Harvest	Massive Earth damage to all foes. All allies gain Skill DMG Boosted.	\N	Massive Earth damage to all foes. All allies gain Skill DMG Boosted and Skill DMG Cap Boosted. 1-turn cut to skill cooldown for Earth allies.	\N
2040037	Triaina	Massive Water damage to all foes. All allies gain ATK Up and DEF Up .	\N	Massive Water damage to all foes. Inflict ATK Down and DEF Down. All allies gain ATK Up and DEF Up.	\N
2040038	True Abyssal Hell-Fire	Massive Dark damage to all foes. Bonus Fire and Water damage.	\N	\N	\N
2040039	Distortion Field	Variable Wind damage to all foes based on the number of debuffs.	\N	\N	\N
2040041	Stray Phantasma	Massive Dark damage to all foes. Inflict Blind.	\N	\N	\N
2040042	Accendo	Massive Wind DMG to all foes and bonus Fire DMG. All allies gain 10% Fire Cut.	\N	Massive Wind DMG to all foes and bonus Fire DMG. All allies gain 20% Fire Cut, Fire ATK Up and Wind ATK Up.	\N
2040043	Genesis	Massive Earth damage to all foes. Bonus Fire and Light damage.	\N	Massive Earth damage to all foes. Bonus Fire and Light damage. All allies gain Earth ATK Up.	\N
2040044	Alfven	Massive Light damage to all foes. Inflict Blind.	\N	\N	\N
2040045	Tsunami	Massive Water damage to all foes. All allies gain Water ATK Up.	\N	\N	\N
2040046	Null Void Omega	Massive Dark damage to all foes. Inflict Healing Lowered.	\N	Massive Dark damage to all foes. Inflict Healing Lowered and Blind.	Massive Dark damage to all foes. Inflict Healing Lowered, Blind, and Accuracy Lowered 3.
2040047	Blade of Light	Massive Light damage to all foes and slight chance to remove 1 buff.	\N	Massive Light damage to all foes and slight chance to remove 1 buff. All allies gain Light ATK Boosted.	Massive Light damage to all foes and remove 1 buff. All allies gain Light ATK Boosted.
2040048	Remedius Nodus	Massive Fire damage to all foes. Inflict ATK Down.	\N	\N	\N
2040049	Hroovitnir	Massive Water damage to all foes. All allies gain ATK Up.	\N	\N	\N
2040050	Arc Blast	Massive Light damage to all foes. All allies gain Light ATK Boosted.	\N	\N	\N
2040053	Pheltronan	Massive Fire damage to all foes. Inflict ATK Down and DEF Down.	\N	800% Fire damage to all foes (Damage cap: ~630,000). Inflict ATK Lowered (Stackable) and DEF Lowered (Stackable). All allies gain ATK Boosted (Stackable) and DEF Boosted (Stackable).	\N
2040055	Wind God and Thunder God's Call	Massive Wind damage to all foes. Bonus Light damage.	\N	\N	\N
2040056	Paradise Lost	Massive Light damage to all foes. All allies gain ATK Up.	\N	Massive Light damage to all foes. All allies gain ATK Up. Restore 30% of all allies' max HP (Healing cap: 3000).	Massive Light damage to all foes. All allies gain ATK Up and Revitalize. Restore 30% of all allies' max HP (Healing cap: 3000).
2040057	Onyx Spire Through Crimson Moon	Massive Dark damage to all foes. Bonus Fire and Water damage.	\N	\N	\N
2040058	Kirari Drop!	Massive Earth damage to all foes, bonus damage to all foes and allies.	\N	\N	\N
2040059	Medusiana	Massive Earth damage to all foes and inflict Break Boosted (Time) and Break Boosted (DMG).	Massive Earth damage to all foes and inflict Break Boosted (Time) and Break Boosted (DMG).	Massive Earth damage to all foes and inflict Break Boosted (Time) and Break Boosted (DMG). Gain Debuff Resistance Boosted	\N
2040060	Bewail	Massive Water damage to all foes and inflict Blinded.	\N	\N	\N
2040062	Dungeon of Darkness	Massive Dark damage to all foes. Inflict ATK Down and DEF Down.	\N	\N	\N
2040063	Frigid Blaze	Massive Fire damage to all foes. Bonus Water damage. All allies gain 10% Water Res and 10% Fire Res.	\N	Massive Fire damage to all foes. Bonus Water damage. All allies gain Water ATK Boosted, Fire ATK Boosted, 10% Water Res, and 10% Fire Res.	\N
2040064	Erase	Massive Light damage to all foes. All allies gain TA Up.	\N	\N	\N
2040065	Armageddon	Massive Light damage to all foes. All allies gain Drain (Healing cap: 500).	Massive Light damage to all foes. All allies gain Drain (Healing cap: 1000).	400% Light damage to all foes (Damage cap: ~830,000). All allies gain Peacemaker's Wings (Healing cap: 1000).	\N
2040067	Bargain	Massive Wind damage to all foes. Inflict Charm.	\N	\N	\N
2040069	Trident Storm	Massive Water damage to all foes. All allies gain DEF Up.	\N	\N	\N
2040071	Surendra-jit	Massive Wind damage to all foes. All allies gain Mirror Image.	\N	Massive Wind damage to all foes. Inflict DA Down. All allies gain Mirror Image.	\N
2040072	Enthralling Light	Massive Earth damage to all foes and medium hit to ATK.	\N	\N	\N
2040073	I’ll Protect You All!	Massive Earth damage to all foes. Increase the endurance of any active Shield on allies.	\N	\N	\N
2040076	Unicorn Astaire	Massive Fire damage to all foes. Bonus Water damage.	\N	\N	\N
2040080	Olympian Punishment	Massive Light damage to all foes. All allies gain Shield.	\N	400% Light damage to all foes (Damage cap: ~860,000). All allies gain Shield.	400% Light damage to all foes (Damage cap: ~860,000). All allies gain Shield.
2040081	Hyper Megaton Kick	Massive Light damage to all foes, remove one buff from all allies and foes.	\N	\N	\N
2040084	Titanomachy	Massive Earth damage to all foes. All allies gain Lethal Attack Dodged 25.	\N	400% Earth damage to all foes. All allies gain Lethal Attack Dodged and Armored.	400% Earth damage to all foes. All allies gain Lethal Attack Dodged and Armored.
2040085	The Tempest	Massive Water damage to all foes. Inflict Water DEF Lowered.	\N	\N	\N
2040086	Proto-White World	Massive Dark damage to all foes, additional plain damage (up to 10000).	\N	\N	\N
2040090	Law of Daiches	Massive Dark damage to all foes. Inflict Sleep.	\N	400% Dark damage to all foes (Damage cap: ~860,000). Inflict Sleep. All allies gain Charge Bar Speed UP.	400% Dark damage to all foes (Damage cap: ~860,000). Inflict Sleep. All allies gain Charge Bar Speed UP.
2040091	Darkstar	Massive Light damage to all foes. Inflict Light DEF Lowered.	\N	\N	\N
2040094	Flames of Judgement	Massive Fire damage to all foes. Inflict Burn.	\N	400% Fire damage to all foes (Damage cap: ~840,000). Inflict Burn. All allies gain Jammed.	400% Fire damage to all foes (Damage cap: ~840,000). Inflict Burn. All allies gain Jammed.
2040095	Adepillaud Blaze	Massive Wind damage to all foes. Inflict Blind.	\N	\N	\N
2040096	Billowy Balloon Fun	Massive Light damage to all foes. All allies gain Charge Boost.	Massive Light damage to all foes. All allies gain Charge Boost.	\N	\N
2040097	Taste of Autumn	Massive Earth damage to all foes. Restore 10% of all allies' HP (Healing cap: 500).	\N	\N	\N
2040098	Thracian Wind	Massive Wind damage to all foes and remove 1 buff.	\N	400% Wind damage to all foes (Damage cap: ~860,000) and remove 1 buff. All allies gain Charge Boost.	400% Wind damage to all foes (Damage cap: ~860,000) and remove 1 buff. All allies gain Charge Boost.
2040099	Dragon's Honor	Massive Fire damage to all foes. Inflict Fire DEF Lowered.	\N	\N	\N
2040100	Apam Napat	Massive Water damage to all foes. Inflict Putrefied.	\N	400% Water damage to all foes (Damage cap: ~860,000). Inflict Putrefied. All allies gain TA Up.	400% Water damage to all foes (Damage cap: ~860,000). Inflict Putrefied. All allies gain TA Up.
2040105	Rose Palace	All allies gain Rose Palace, DEF Up, Revitalize, and Debuff Resistance Boosted.	All allies gain Rose Palace, DEF Up, Revitalize, and Debuff Resistance Boosted.	All allies gain Rose Palace, DEF Up, Revitalize, and Debuff Resistance Boosted.	\N
2040109	Phantom Flame	Massive Water damage to all foes. All allies gain Water ATK Up and Earth DEF Lowered.	\N	\N	\N
2040113	Brutal Legend	Massive Water damage to all foes. All allies gain ATK Up. Inflict DEF Down on all allies.	\N	\N	\N
2040114	Once in a Blue Moon	Massive Water damage to all foes. All allies gain C.A. DMG Boosted and DMG Cap Boosted.	Massive Water damage to all foes. All allies gain C.A. DMG Boosted and DMG Cap Boosted.	400% Water damage to all foes. All allies gain Charge Bar, C.A. DMG Boosted, and DMG Cap Boosted.	\N
2040115	Klesha Overdrive	Massive Wind damage to all foes. Inflict a random debuff.	\N	\N	\N
2040122	Triad Wings	Massive wind damage to all foes. All allies gain Wind ATK Boosted and 30% Earth Res.	Massive wind damage to all foes. All allies gain Wind ATK Boosted and 50% Earth Res.	Massive wind damage to all foes. All allies gain Wind ATK Boosted and 60% Earth Res.	\N
2040123	Crabnation	Massive Dark damage to all foes. All allies gain DEF Up.	\N	\N	\N
2040124	Ti Icniuhtli Xolotl!	\N	All allies gain Hyped.	\N	\N
2040125	Fire of the Goddess	Massive Fire damage to all foes. All allies gain Fire ATK Boosted and 30% Wind Res.	Massive Fire damage to all foes. All allies gain Fire ATK Boosted and 50% Wind Res.	Massive Fire damage to all foes. All allies gain Fire ATK Boosted and 60% Wind Res.	\N
2040129	Full Barrage	Massive Fire damage to all foes and inflict Burned.	\N	\N	\N
2040130	Force Break	Massive Earth damage to all foes. All allies gain Earth ATK Boosted and 30% Water Cut.	Massive Earth damage to all foes. All allies gain Earth ATK Boosted and 50% Water Cut.	Massive Earth damage to all foes. All allies gain Earth ATK Boosted and 60% Water Cut.	\N
2040131	Skyfall	Massive Dark damage to all foes.	\N	\N	\N
2040133	Force Strike	Massive Light damage to all foes. All allies gain Debuff Resistance Boosted.	\N	\N	\N
2040134	Ophois	Massive Dark damage to all foes. All allies gain Dark ATK Boosted and 30% Light Res.	Massive Dark damage to all foes. All allies gain Dark ATK Boosted and 50% Light Res.	Massive Dark damage to all foes. All allies gain Dark ATK Boosted and 60% Light Res.	\N
2040141	Sticky Snare	Massive Wind damage to all foes. Restore all allies' HP. All allies gain DEF Up.	\N	\N	\N
2040142	Pillow Fight	Massive Water damage to all foes and deal bonus Water damage.	\N	\N	\N
2040144	Invincible Arrow	Massive Light damage to all foes. All allies gain Light ATK Boosted and 30% Dark Res.	Massive Light damage to all foes. All allies gain Light ATK Boosted and 50% Dark Res.	Massive Light damage to all foes. All allies gain Light ATK Boosted and 60% Dark Res.	\N
2040157	Omnictus	Massive Light damage to all foes.	Massive Light damage to all foes. All allies gain C.A. Instant Standby. (Cannot resummon)	\N	\N
2040158	Delta	Massive Dark damage to all foes.	Massive Dark damage to all foes. End all allies' skill cooldowns.	\N	\N
2040159	Hyper Gigaton Smash	Vanquish Evil! (Massive Light damage to all foes. Inflict Debuff Resistance Lowered.)	Vanquish Evil, Banish Darkness! (Massive Light damage to all foes. Inflict Debuff Resistance Lowered. Chance to inflict Lethal Hit.)	\N	\N
2040160	Sanctuary	Massive Water damage to all foes. All allies gain Water ATK Boosted and 30% Fire Res.	Massive Water damage to all foes. All allies gain Water ATK Boosted and 50% Fire Res.	Massive Water damage to all foes. All allies gain Water ATK Boosted and 60% Fire Res.	\N
2040167	Flying Ace	Massive Water damage to all foes. Inflict DA Down and TA Down. Slight chance for all allies to gain Charge Boost.	\N	\N	\N
2040168	Seed Cannon	Massive Earth damage to all foes. All allies gain ATK Up.	\N	\N	\N
2040170	Dreams of Honey	Massive Dark damage to all foes / Big boost to Dark allies' Attack.	\N	\N	\N
2040171	Vulcanus Forge	Massive Fire damage to all foes and inflict ATK Down. Slight chance for all allies to gain ATK Up.	\N	\N	\N
2040172	Snore	Massive Wind damage to all foes. / Blow Away.	\N	\N	\N
2040173	Miccailhuitontli	Massive Earth damage to all foes and inflict DEF Down. Slight chance for all allies to gain Bonus Earth Damage.	\N	Massive Earth damage to all foes and inflict DEF Down. Slight chance for all allies to gain Bonus Earth Damage. The Main Character gains Little Feast of the Dead if not present or consumed; or activates Little Feast of the Dead if present and the requirements are met.	\N
2040175	Old Friend's Penchant	All allies gain Shield. Shield endurance is randomly assigned from 1000, 1500, or 2000.	\N	\N	\N
2040177	Was Scepter	Massive Wind damage to all foes. All allies gain Dodge Rate Boosted and slight chance to gain TA Up.	\N	\N	\N
2040178	Crimson Fist	Massive Fire damage to all foes. All allies gain DA Up.	\N	\N	\N
2040180	Chaos Typhoon	Massive Dark damage to all foes. Clear all foes' charge diamonds.	Massive Dark damage to all foes. Clear all foes' charge diamonds. All allies gain 10% charge bar for every filled diamond that is removed by Typhon.	Massive Dark damage to all foes. Clear all foes' charge diamonds. All allies gain Charge Boost.	\N
2040181	Ritterliche Tapferkeit	All allies gain a random buff effect. 'Lancelot': All allies gain DA Up for 1 turn. 'Vane': All allies gain Shield for 3 turns. 'Percival': All allies gain Charge Boost. 'Siegfried': All allies gain Drain (Healing cap: 500) for 2 turns.	All allies gain a random buff effect. 'Lancelot': All allies gain DA Up and ATK Up for 1 turn. 'Vane': All allies gain Shield for 3 turns. 'Percival': All allies gain Charge Boost. 'Siegfried': All allies gain Drain (Healing cap: 800) for 2 turns.	All allies gain Armored and a random buff effect. 'Lancelot': All allies gain DA Up and ATK Up for 1 turn. 'Vane': All allies gain Shield for 3 turns. 'Percival': All allies gain Charge Boost C.A. DMG Boosted (1 time). 'Siegfried': All allies gain Drain (Healing cap: 1000) for 2 turns.	\N
2040184	Cobalt Comet	All allies gain C.A. DMG Boosted and Charge Boost.	All allies gain C.A. DMG Boosted and Charge Boost.	\N	\N
2040185	Awaken Inner Eye	Massive Fire damage to all foes. All allies gain Path of Destruction.	\N	\N	\N
2040188	Mjolnir	Massive Light damage to all foes. Inflict ATK Down, DEF Down, DA Down, TA Down and Debuff Resistance Lowered.	Massive Light damage to all foes. Inflict ATK Down, DEF Down, DA Down, TA Down and Debuff Resistance Lowered. Remove 1 buff effect.	Massive Light damage to all foes. Inflict ATK Down, DEF Down, DA Down, TA Down and Debuff Resistance Lowered. Remove 1 buff effect. All Light allies gain Bonus Light Damage.	\N
2040189	The Sky Knights Are Here to Help	Random effect to all foes or all allies. 'Mina:' Inflict DEF Down and Light Resist DOWN on all foes. 'Mona:' All allies gain Refresh (Healing cap: 500). 'Mena:' All allies gain ATK Up and Critical Hit Rate Boosted.	Random effect to all foes or all allies. 'Mina:' Inflict DEF Down and Light Resist DOWN on all foes. 'Mona:' All allies gain Refresh (Healing cap: 800). 'Mena:' All allies gain ATK Up and Critical Hit Rate Boosted.	\N	\N
2040192	Bells of Joy	Ward. (All allies gain Ward.)	Ward. (All allies gain Ward.) Last Words: Can reuse a random summon.	\N	\N
2040195	Paradise Lost	Massive Light damage to all foes. Restore 20% of all allies' HP (Healing cap: 1000). All allies gain ATK Up. 'Hidden Effect:' Lucio and Sandalphon gain 30% Dark Cut.	\N	\N	\N
2040198	Terrifying Roar	Massive dark damage to all foes. All allies gain DMG Supplemented. 'Hidden Effect:' Reset the cooldown of one of Lyria (Event)'s skills.	Massive dark damage to all foes. All allies gain DMG Supplemented. 'Hidden Effect:' Reset the cooldown of one of Lyria (Event)'s skills.	\N	\N
2040202	Simeon	Massive Wind damage to all foes. Inflict Undaunted Gale on all Earth foes for 1 to 2 turns. All Wind allies gain Mirror Image.	\N	\N	\N
2040203	Terrablaze	Massive Earth damage to all foes. All Earth allies gain Uriel's Favor. All allies gain Charge Boost.	\N	\N	\N
2040205	Uncrossable Realm	All allies gain 70% DMG Cut and DEF Up.	All allies gain 100% DMG Cut and DEF Up.	\N	\N
2040207	H.P.A.	All allies gettin' a boost and feelin' the jive! Jeah, jeah, jeah! (Random effect to all allies.) 'Hidden Effect:' Katalina also gains DEF Up. Vira also gains ATK Up.	\N	\N	\N
2040211	Ars Magna	Massive dark DMG to all foes. All allies gain small ATK Up DEF Up DA Up and TA Up 'Hidden Effect:' Remove all debuffs from Cagliostro.	Massive dark DMG to all foes. All allies gain medium ATK Up and DEF Up and small DA Up and TA Up 'Hidden Effect:' Remove all debuffs from Cagliostro.	\N	\N
2040212	Primal Darkness	Massive Dark damage to all foes. All allies gain Mirror Image. Slight chance for all allies to gain massive Dodge Rate Boosted.	\N	\N	\N
2040214	Sacre Blumiel!	All allies gain a random buff.	\N	\N	\N
2040216	Agape's Grace	Restore 20% of all allies' HP (Healing cap: 1000 HP) and all allies gain Charge Boost. Slight chance for all allies to be able to use skills immediately.	\N	Restore 20% of all allies' HP (Healing cap: 1000 HP) and all allies gain Charge Boost. Slight chance for all allies to be able to use skills immediately. Gain all call effects upon consuming Heavenly Grace effect	\N
2040219	Ranger Danger!	Inflict Blind on all foes. All allies gain Dodge Rate Boosted.	\N	\N	\N
2040221	Feather Lance	Massive Wind damage to all foes. All allies gain small TA Up. Slight chance to clear all foes' charge diamonds.	\N	\N	\N
2040224	Infinite Needles	Massive Fire damage to all enemies. Plain damage to all allies equal to 10% of current health.	Massive Fire damage to all enemies. Plain damage to all allies equal to 10% of current health. All allies gain Revitalize.	\N	\N
2040225	Taurus Blight	Massive Water damage to all foes. Revive two random allies at 50% Max HP.	\N	\N	\N
2040228	Mana Agni	Massive Fire damage to all foes. Remove a buff from all foes and allies.	\N	\N	\N
2040229	Uganbutochi	Massive Fire damage to all foes and inflict Fire DEF Lowered. Slight chance to inflict ATK Lowered 3 and DEF Lowered 3 on all foes.	\N	\N	\N
